ID,Decision Area,Decision (Recommended),Options Considered,Rationale,Owner,When to Decide,Status,Revisit Criteria,Notes
1,Infrastructure as Code,Start with PowerShell for speed; prepare Terraform modules in parallel for long-term,PowerShell only | Terraform only | Hybrid (PS now → TF later),Fastest path to a PoC while paving a path to standardized IaC and state mgmt later,DevOps Lead,Now,Proposed,If constraints/assumptions change,Define a 1:1 TF module map for future parity
2,Pipeline Authentication,Use OIDC-based ADO service connection (secretless),OIDC (Workload Identity) | Service Principal secret | Managed Identity (self-hosted agent),"Removes secrets, least management overhead, strong security posture",DevOps Lead,Now,Proposed,If constraints/assumptions change,Fallback to SP secret only if OIDC blocked
3,Terraform State (future),Azure Storage remote state with locks; per-environment containers,Local state | Azure Storage state | Terraform Cloud,"Reliable locking, RBAC, encryption-at-rest; fits enterprise controls",DevOps Lead,When adopting TF,Deferred,If constraints/assumptions change,
4,ADF Integration Runtime,Use SHIR (v5.56) in hub; reserve Azure IR for internal/MPE cases,SHIR only | Azure IR (Managed VNet) | Mixed,SHIR reaches many client PGs over existing peering; supports UAMI with PG v2.0,Data Eng Lead,Now,Proposed,If constraints/assumptions change,
5,Network Model to Client PG,"Use existing VNet peering; no MPE, no public IPs",Peering | Managed Private Endpoints | Public allowlist,Peering already in place; avoids per-client PE approvals and public exposure,Platform Lead,Now,Proposed,If constraints/assumptions change,
6,PostgreSQL Auth,User-Assigned Managed Identity (UAMI) for Script activity,UAMI | SPN (client secret/cert) | DB user/password,"Passwordless, centrally managed, least-privilege via Entra; aligns with zero-secret goal",DBA (Client) + Data Eng,Before first run,Proposed,If constraints/assumptions change,
7,DNS Resolution,Link client Private DNS zones to hub; fallback to Azure DNS Private Resolver,Zone linking | Private Resolver + forwarding | Hosts overrides,Most maintainable; keeps FQDNs intact; Private Resolver only if linking not possible,Platform + Client Network,Now,Proposed,If constraints/assumptions change,Verify resolution from SHIR subnet
8,SHIR Topology,"2 nodes (N+1), auto-update on; scale-out if throughput requires",1 node | 2 nodes | 3+ nodes,Resilience against single node failure; maintenance-friendly,Data Eng Lead,Before SHIR install,Proposed,If constraints/assumptions change,
9,SHIR Hosts,"Windows Server 2022, no public IP; patch via Update Mgmt; minimal egress","Public IP + RDP | Bastion | No public, JIT",Reduces attack surface; consistent with platform standards,Platform Lead,Before SHIR install,Proposed,If constraints/assumptions change,
10,ADF Source Control,Azure Repos; Git only in Dev; PR-based promotion to Test/Prod,Azure Repos | GitHub | No Git,Matches existing ADO; keeps prod clean and deploy-only,DevOps Lead,When creating ADF,Proposed,If constraints/assumptions change,
11,Release Strategy,Multi-stage YAML pipeline with environment approvals,Classic release | Single-stage | Multi-stage YAML,"Traceable, reusable, easier approvals and conditions",DevOps Lead,Now,Proposed,If constraints/assumptions change,
12,Secrets Management,Key Vault for any non-AAD secrets; ADF references KV,Key Vault | ADF secure strings | Inline in code (avoid),"Centralized governance, rotation, and RBAC",Security + Data Eng,Now,Proposed,If constraints/assumptions change,
13,Key Vault Network Rules,Allow public access but restrict by firewall while PoC; plan for Private Endpoint later,Public (restricted) | Private Endpoint | Public open,No client-side PE approvals needed for PoC; roadmap to PE for strict isolation later,Security + Platform,Now,Proposed,If constraints/assumptions change,Revisit when standardizing PEs
14,Operational Logging,ADLS Gen2 per env; container 'logs' for pipeline results,Shared account | Per-env accounts | None,"Clear isolation and lifecycle mgmt; cheap, simple evidence trail",Data Eng Lead,Now,Proposed,If constraints/assumptions change,
15,Monitoring,Send ADF diagnostics to Log Analytics; alerts for pipeline failure & IR heartbeat,LAW + Alerts | Storage logs only | None,Actionable telemetry and alerting path for ops,Ops Lead,After ADF creation,Proposed,If constraints/assumptions change,
16,PoC Test Pattern,Script activity → Postgres LS (UAMI via SHIR); optional write to ADLS,Function runner | Copy-only | Manual client tool,Directly validates UAMI + network; minimal moving parts,Data Eng Lead,Now,Proposed,If constraints/assumptions change,
17,RBAC Model,Least-priv RBAC: scoped roles for UAMI; ADF Contributor for CI/CD; PIM for elevation,Broad Owner rights | Least-priv + PIM | Custom roles,Balance of security and operability; auditable changes,Security + DevOps,Now,Proposed,If constraints/assumptions change,
18,Naming/Tagging,"Adopt corporate standard; include env, app, owner, cost center tags",Ad-hoc | Corporate standard | Minimal tags,"Discoverability, cost mgmt, and policy compliance",Platform + DevOps,Now,Proposed,If constraints/assumptions change,
19,Resilience/DR,Two SHIR nodes; idempotent infra scripts; ADF export for rebuild,Single node | Multi-node + backups | Active-active regions,Meets PoC RTO/RPO without overbuild,Ops Lead,Now,Proposed,If constraints/assumptions change,Consider multi-region only if required later
20,Approvals/Governance,Gates before SHIR install and first client run,No gates | Single final gate | Stage-level gates,Prevents accidental client impact; ensures prerequisites are met,Project Owner,Now,Proposed,If constraints/assumptions change,
